proveedor,archivo,rut_empresa,numero_cuenta,numero_boleta,fecha_emision,periodo_facturado,consumo_total_m3,iva,total_a_pagar,vencimiento,estado,monto_periodo,consumo_total,fecha_vencimiento
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201907.pdf,61.808.000-5,,,,,,,,26-JUL-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201908.pdf,61.808.000-5,,,,,,,,27-AGO-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201909.pdf,61.808.000-5,,,,,,,,25-SEP-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201910.pdf,61.808.000-5,,,,,,,,24-OCT-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201911.pdf,61.808.000-5,,,,,,,,25-NOV-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_201912.pdf,61.808.000-5,,,,,,,,26-DIC-2019,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202001.pdf,61.808.000-5,,,,,,,,24-ENE-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202002.pdf,61.808.000-5,,,,,,,,25-FEB-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202003.pdf,61.808.000-5,,,,,,,,24-MAR-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202004.pdf,61.808.000-5,,,,,,,,23-ABR-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202005.pdf,61.808.000-5,,,,,,,,25-MAY-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202006.pdf,61.808.000-5,,,,,,,,23-JUN-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202007.pdf,61.808.000-5,,,,,,,,24-JUL-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202008.pdf,61.808.000-5,,,,,,,,24-AGO-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202009.pdf,61.808.000-5,,,,,,,,24-SEP-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202010.pdf,61.808.000-5,,,,,,,,26-OCT-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202011.pdf,61.808.000-5,,,,,,,,24-NOV-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202012.pdf,61.808.000-5,,,,,,,,24-DIC-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202101.pdf,61.808.000-5,,,,,,,,25-ENE-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202102.pdf,61.808.000-5,,,,,,,,23-FEB-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202103.pdf,61.808.000-5,,,,,,,,24-MAR-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202104.pdf,61.808.000-5,,,,,,,,26-ABR-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202105.pdf,61.808.000-5,,,,,,,,25-MAY-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202106.pdf,61.808.000-5,,,,,,,,23-JUN-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202107.pdf,61.808.000-5,,,,,,,,26-JUL-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202108.pdf,61.808.000-5,,,,,,,,25-AGO-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202109.pdf,61.808.000-5,,,,,,,,24-SEP-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202110.pdf,61.808.000-5,,,,,,,,25-OCT-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202111.pdf,61.808.000-5,,,,,,,,24-NOV-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202112.pdf,61.808.000-5,,,,,,,,24-DIC-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202201.pdf,61.808.000-5,,,,,,,,25-ENE-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202202.pdf,61.808.000-5,,,,,,,,23-FEB-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202203.pdf,61.808.000-5,,,,,,,,23-MAR-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202204.pdf,61.808.000-5,,,,,,,,25-ABR-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202205.pdf,61.808.000-5,,,,,,,,25-MAY-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202206.pdf,61.808.000-5,,,,,,,,23-JUN-2022,ERROR: Datos incompletos,,,
